id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
4Rfp8JgdGLIwaNsYvapTzS,0.989,0.32,0.00633,0.904,0.108,-33.598,0.0519,102.538,0.127
0G1Du52loFnqrRHQ7nUxqK,0.776,0.212,0.436,0.689,0.348,-13.197,0.0379,109.05,0.211
59cCr3aMohdsVwKFig5Ukf,0.464,0.664,0.463,0.622,0.233,-9.351,0.0309,125.103,0.112
4w3bDJJwmlomeCOXT4oBr1,0.594,0.0641,0.324,0.877,0.295,-16.049,0.0431,71.925,0.0389
5TVqPdNpDVk0g8rv5Fxj5B,0.0396,0.29,0.67,0.417,0.155,-13.023,0.0395,169.161,0.0605
2P0p37wIpFQGBUnaV6dAHG,0.737,0.472,0.521,0.458,0.0848,-13.361,0.0419,180.069,0.224
7rvvXCLG11oepYRFwISkJZ,0.14,0.0902,0.373,0.907,0.11,-17.036,0.139,64.179,0.143
6HE9tdnizI083UQwKxzQc6,0.00992,0.439,0.637,0.264,0.138,-12.105,0.0456,90.012,0.196
4UmwjnEQ4CZy9XmaN52r0I,0.848,0.173,0.0776,0.633,0.133,-26.584,0.0395,72.973,0.112
3lQk2XdEx2qgZq5R72OQa4,0.994,0.151,0.246,0.9,0.106,-17.689,0.0474,85.345,0.136
6v7oLEcOyjLodHTYKmYfFr,0.812,0.145,0.0458,0.957,0.109,-20.909,0.0477,137.908,0.0286
